客户号,客户资金,入金,出金,市值,当日盈亏,总资产,交易日,
307000051387,30152227.04,0.00,0.00,11939238.30,87769.06,49766465.34,20260921,
307000051387,34000885.68,0.00,0.00,10232810.60,154891.68,49678696.28,20260918,
307000051387,36294746.00,0.00,0.00,8668058.60,-39334.91,49523804.60,20260917,
307000051387,43002053.21,0.00,0.00,4053086.30,43129.60,49563139.51,20260916,
307000051387,44000105.61,0.00,0.00,2982904.30,-22255.51,49520009.91,20260915,
307000051387,45000116.92,0.00,0.00,3216148.50,-92659.56,49542265.42,20260914,
307000051387,36028265.18,0.00,0.00,8818659.80,-121615.41,49634924.98,20260911,
307000051387,30000429.79,0.00,0.00,9704110.60,-93768.04,49756540.39,20260910,
307000051387,35000487.83,0.00,0.00,9819820.60,-6751.93,49850308.43,20260909,
307000051387,35000736.96,0.00,0.00,9796323.40,-15549.47,49857060.36,20260908,
307000051387,43000751.23,0.00,0.00,4037858.60,39759.90,49872609.83,20260907,
307000051387,44000563.43,0.00,0.00,3966286.50,-31892.52,49832849.93,20260904,
307000051387,45859630.25,0.00,0.00,4005112.20,6381.91,49864742.45,20260903,
307000051387,44000932.04,0.00,0.00,3924428.50,-72787.16,49858360.54,20260902,
307000051387,43900210.70,0.00,0.00,3958937.00,-43687.51,49931147.70,20260901,
307000051387,44000209.01,0.00,0.00,3949626.20,-172471.98,49974835.21,20260831,
307000051387,25000775.39,0.00,0.00,16921531.80,-75202.76,50147307.19,20260828,
307000051387,30000100.25,0.00,0.00,13267409.70,221888.85,50222509.95,20260827,
307000051387,44000677.10,0.00,0.00,3998944.00,28716.28,50000621.10,20260826,
307000051387,47100677.72,0.00,0.00,1959227.10,-2696.89,49971904.82,20260825,
307000051387,47000754.11,0.00,0.00,1927847.60,-33562.21,49974601.71,20260824,
307000051387,47000658.92,0.00,0.00,1978505.00,7487.44,50008163.92,20260821,
307000051387,42000176.28,0.00,0.00,4649500.20,78085.26,50000676.48,20260820,
307000051387,22001130.92,0.00,0.00,12620460.30,-568409.99,49922591.22,20260819,
307000051387,27000595.51,0.00,0.00,12720405.70,-27833.82,50491001.21,20260818,
307000051387,32001536.33,0.00,0.00,13035298.70,271351.93,50518835.03,20260817,
307000051387,37900691.70,0.00,0.00,8324791.40,76235.91,50247483.10,20260814,
307000051387,38000278.19,0.00,0.00,8143969.00,-103005.16,50171247.19,20260813,
307000051387,37000743.35,0.00,0.00,8324509.00,93784.46,50274252.35,20260812,
307000051387,30000813.69,0.00,0.00,12632654.20,-100374.17,50180467.89,20260811,
307000051387,37753396.86,0.00,0.00,8249445.20,14369.98,50280842.06,20260810,
307000051387,38873610.28,0.00,0.00,8153861.80,168416.86,50266472.08,20260807,
307000051387,39220539.32,0.00,0.00,8271515.90,25525.34,50098055.22,20260806,
307000051387,39000789.88,0.00,0.00,8455740.00,201602.30,50072529.88,20260805,
307000051387,43000317.58,0.00,0.00,5660610.00,160543.30,49870927.58,20260804,
307000051387,44276686.88,0.00,0.00,5433697.40,-117635.37,49710384.28,20260803,
307000051387,35636582.05,0.00,0.00,14191437.60,74702.52,49828019.65,20260731,
307000051387,39550673.43,0.00,0.00,5876643.70,-165746.31,49753317.13,20260730,
307000051387,221.54,0.00,1000000.00,6236841.90,69441.53,49919063.44,20260729,
307000051387,45028133.51,0.00,0.00,5821488.40,-218707.18,50849621.91,20260728,
307000051387,45384023.99,51010941.93,0.00,5684305.10,57387.16,51068329.09,20260727,
307000051387,0.00,0.00,0.00,0.00,0.00,0.00,20260724,
