trade_date,open_asset_excluding_fund_occupancy,close_asset_excluding_fund_occupancy,daily_pnl
2026-07-01,5967162.46,5915767.71,-47492.23
2026-07-02,5915767.71,5719337.70,-196483.23
2026-07-03,5719337.70,5709971.44,-9499.03
2026-07-06,5709971.44,5657588.85,-52376.62
2026-07-07,5657588.85,5627713.45,-29981.35
2026-07-08,5627713.45,5583306.78,-44458.98
2026-07-09,5583306.78,5613941.12,30418.60
2026-07-10,5613941.12,5402374.32,-212201.76
2026-07-13,5402374.32,5387146.34,-15298.26
2026-07-14,5387146.34,5392190.47,4890.80
2026-07-15,5392190.47,5392190.47,0.00
2026-07-22,5392190.47,5378122.74,-14294.77
2026-07-23,5378122.74,5375645.16,-2634.55
2026-07-28,5375645.16,5320996.04,-52183.98
2026-07-29,5320996.04,5329753.88,8745.97
2026-07-30,5329753.88,5240051.09,-89878.32
2026-07-31,5240051.09,5293863.91,53768.59
